usuario_id,publicaciones,likes_recibidos,comentarios_recibidos,seguidores,horas_uso,tasa_interaccion
1,11,887,123,383,41.01,24.626
2,8,425,64,391,33.74,14.495
3,17,1024,166,288,42.24,28.1691
4,16,804,175,224,46.31,21.1409
5,15,755,83,320,40.67,20.6058
6,11,329,45,365,54.15,6.9069
7,15,747,96,155,30.42,27.715
8,9,584,90,477,41.23,16.3486
9,10,748,128,512,48.41,18.0968
10,17,1492,251,1258,38.72,45.0145
11,11,353,52,396,44.51,9.0999
12,18,483,59,705,20.26,26.7587
13,10,489,68,553,50.44,11.0433
14,11,678,164,219,29.42,28.619
15,7,392,31,311,22.76,18.5847
16,17,880,71,153,33.26,28.5918
17,11,244,50,211,36.54,8.0461
18,16,1080,253,332,36.05,36.9769
19,14,910,187,251,60.61,18.1007
20,16,310,42,502,40.95,8.5955
21,14,737,85,93,29.43,27.9344
22,10,547,97,278,46.36,13.8915
23,13,339,34,282,43.62,8.5511
24,11,226,55,303,46.63,6.0259
25,10,621,132,691,25.88,29.0927
26,11,282,59,310,49.66,6.8667
27,13,904,146,356,38.41,27.3352
28,8,287,52,368,37.84,8.9585
29,17,840,181,166,29.73,34.339
30,9,433,55,491,11.35,42.9858
31,13,831,104,199,26.83,34.8461
32,10,778,140,321,59.14,15.5237
33,9,633,85,676,36.3,19.7791
34,9,153,16,216,27.9,6.0566
35,8,226,54,344,52.19,5.3648
36,15,834,155,446,47.05,21.0194
37,14,396,67,435,28.21,16.4107
38,11,275,55,285,33.11,9.9664
39,12,632,154,345,17.93,43.8292
40,17,844,137,182,23.4,41.9164
41,13,752,162,333,51.52,17.7417
42,11,734,137,334,41.03,21.2284
43,4,169,41,208,39.38,5.3332
44,8,246,49,190,34.51,8.5474
45,17,1001,141,292,50.77,22.4935
46,9,228,48,265,44.73,6.1698
47,9,465,106,175,53.2,10.7331
48,17,533,50,234,55.07,10.586
49,10,276,43,360,30.28,10.5342
50,8,515,89,323,34.81,17.3511
51,6,446,47,601,37.82,13.0367
52,14,637,104,531,20.82,35.5885
53,13,536,95,218,34.79,18.1373
54,8,767,184,972,40.59,23.4316
55,10,428,46,226,47.88,9.8999
56,17,991,146,258,39.69,28.6505
57,16,1017,96,761,32.89,33.8397
58,12,772,123,348,36.31,24.6481
59,11,260,30,118,39.46,7.349
60,9,199,19,146,34.12,6.3898
61,10,554,77,313,53.39,11.8181
62,11,293,44,501,39.5,8.5322
63,13,188,41,105,29.66,7.7219
64,12,894,173,275,19.95,53.471
65,18,944,202,325,33.27,34.4465
66,11,190,24,318,23.14,9.2491
67,8,324,47,179,63.11,5.879
68,13,242,45,467,44.74,6.4145
69,12,289,23,332,42.85,7.2813
70,11,612,120,397,51.23,14.2888
71,10,230,32,175,43.59,6.0112
72,12,803,174,253,45.14,21.6432
73,16,516,79,137,43.22,13.766
74,7,510,89,304,31.78,18.8459
75,14,328,78,616,35.49,11.4399
76,8,187,23,235,43.01,4.8825
77,11,993,140,1045,45.28,25.0227
78,15,1158,198,338,31.18,43.4962
79,9,310,71,917,40.93,9.3081
80,10,466,39,204,43.79,11.5327
81,7,463,110,162,47.33,12.1053
82,13,610,139,384,27.03,27.7107
83,9,324,80,117,42.01,9.6157
84,9,430,47,450,21.64,22.0452
85,14,559,98,191,35.93,18.2876
86,17,774,130,192,45.2,20.0007
87,10,333,32,637,34.21,10.6693
88,10,241,27,415,50.14,5.3451
89,13,463,112,125,47.23,12.174
90,18,945,128,332,48.36,22.1886
91,14,778,164,112,19.78,47.6205
92,9,470,46,747,41.96,12.2975
93,12,700,95,79,35.64,22.3054
94,11,591,110,659,45.58,15.3797
95,7,355,30,368,31.62,12.1749
96,10,750,136,299,56.78,15.604
97,11,800,66,477,30.18,28.6969
98,12,539,128,409,50.22,13.2807
99,8,253,26,200,27.73,10.0609
100,18,1649,235,893,41.98,44.8756
101,11,463,60,431,37.9,13.8002
102,15,336,66,442,39.88,10.0808
103,12,291,29,464,31.83,10.0542
104,18,731,123,226,37.02,23.07
105,16,380,75,666,63.47,7.1684
106,13,299,42,73,37.41,9.1142
107,8,536,53,262,39.03,15.0898
108,8,471,51,281,45.46,11.4821
109,10,157,12,170,46.05,3.6699
110,8,305,72,552,46.94,8.0318
